Date,Open,High,Low,Close,予想,正解
2023/1/3 0:00,130.2799988,130.8999939,124.1699982,125.0699997,up,down
2023/1/4 0:00,126.8899994,128.6600037,125.0800018,126.3600006,up,down
2023/1/5 0:00,127.1299973,127.7699966,124.7600021,125.0199966,up,up
2023/1/6 0:00,126.0100021,130.2899933,124.8899994,129.6199951,up,down
2023/1/9 0:00,130.4700012,133.4100037,129.8899994,130.1499939,up,up
2023/1/10 0:00,130.2599945,131.2599945,128.1199951,130.7299957,up,up
2023/1/11 0:00,131.25,133.5099945,130.4600067,133.4900055,up,down
2023/1/12 0:00,133.8800049,134.2599945,131.4400024,133.4100037,up,up
2023/1/13 0:00,132.0299988,134.9199982,131.6600037,134.7599945,up,up
2023/1/17 0:00,134.8300018,137.2899933,134.1300049,135.9400024,up,down
2023/1/18 0:00,136.8200073,138.6100006,135.0299988,135.2100067,up,up
2023/1/19 0:00,134.0800018,136.25,133.7700043,135.2700043,up,up
2023/1/20 0:00,135.2799988,138.0200043,134.2200012,137.8699951,up,up
2023/1/23 0:00,138.1199951,143.3200073,137.8999939,141.1100006,up,up
2023/1/24 0:00,140.3099976,143.1600037,140.3000031,142.5299988,up,up
2023/1/25 0:00,140.8899994,142.4299927,138.8099976,141.8600006,up,up
2023/1/26 0:00,143.1699982,144.25,141.8999939,143.9600067,up,up
2023/1/27 0:00,143.1600037,147.2299957,143.0800018,145.9299927,up,down
2023/1/30 0:00,144.9600067,145.5500031,142.8500061,143,up,down